x,y,tau,pvalue
lh_G_front_middle,Left-Cerebellum-Exterior,0.688757064750224000000000000000,0.000000000000000000000000000000
lh_G_and_S_cingul-Mid-Post,lh_S_precentral-sup-part,0.685579363522300000000000000000,0.000000000000000000000000000000
lh_S_precentral-inf-part,Right-Pallidum,0.684874401305095000000000000000,0.000000000000000000000000000000
lh_S_front_middle,Right-Insula,0.684322707156900000000000000000,0.000000000000000000000000000000
lh_S_temporal_inf,Left-Caudate,0.682387085071648000000000000000,0.000000000000000000000000000000
lh_S_central,Right-Caudate,0.680939878253204000000000000000,0.000000000000000000000000000000
lh_G_occipital_middle,lh_S_oc_middle_and_Lunatus,0.673779051895686000000000000000,0.000000000000000000000000000000
Left-Cerebellum-Exterior,Right-Pallidum,0.672416446369436000000000000000,0.000000000000000000000000000000
lh_S_oc_middle_and_Lunatus,Left-Hippocampus,0.667877385708106000000000000000,0.000000000000000000000000000000
lh_G_temporal_inf,Left-Accumbens-area,0.667694540177761000000000000000,0.000000000000000000000000000000
lh_G_occipital_middle,Left-Hippocampus,0.665880544963497000000000000000,0.000000000000000000000000000000
lh_G_temporal_inf,Left-Caudate,0.664792309087611000000000000000,0.000000000000000000000000000000
lh_G_precuneus,rh_G_precuneus,0.662252856883729000000000000000,0.000000000000000000000000000000
rh_G_temp_sup-Lateral,rh_G_temp_sup-Plan_polar,0.662252856883729000000000000000,0.000000000000000000000000000000
lh_S_oc-temp_lat,lh_S_temporal_inf,0.658806457464175000000000000000,0.000000000000000000000000000000
rh_G_temporal_inf,rh_S_temporal_inf,0.658262289134772000000000000000,0.000000000000000000000000000000
lh_G_oc-temp_lat-fusifor,lh_G_temporal_inf,0.657536731362234000000000000000,0.000000000000000000000000000000
lh_G_oc-temp_lat-fusifor,lh_S_temporal_inf,0.656992563032831000000000000000,0.000000000000000000000000000000
lh_S_circular_insula_sup,Right-Cerebellum-Exterior,0.656811173589697000000000000000,0.000000000000000000000000000000
lh_Lat_Fis-ant-Horizont,Right-Cerebellum-White-Matter,0.656085615817159000000000000000,0.000000000000000000000000000000
lh_G_pariet_inf-Supramar,lh_G_temp_sup-Plan_tempo,0.655963718820861000000000000000,0.000000000000000000000000000000
Left-Cerebral-White-Matter,Left-Cerebellum-Exterior,0.655712703135741000000000000000,0.000000000000000000000000000000
lh_G_front_middle,lh_S_front_middle,0.655480477749890000000000000000,0.000000000000000000000000000000
lh_G_front_middle,Right-Operculum,0.650099764193723000000000000000,0.000000000000000000000000000000
rh_G_temp_sup-G_T_transv,rh_S_temporal_transverse,0.649312956996189000000000000000,0.000000000000000000000000000000
rh_G_occipital_middle,rh_S_oc_middle_and_Lunatus,0.649210514032197000000000000000,0.000000000000000000000000000000
lh_G_temp_sup-G_T_transv,lh_S_temporal_transverse,0.649131559326963000000000000000,0.000000000000000000000000000000
lh_S_suborbital,Right-Amygdala,0.648104480319245000000000000000,0.000000000000000000000000000000
Left-Amygdala,Left-Operculum,0.645927807001632000000000000000,0.000000000000000000000000000000
lh_G_precentral,lh_S_central,0.644376905663804000000000000000,0.000000000000000000000000000000
lh_G_precentral,Left-Cerebellum-Exterior,0.643090826651010000000000000000,0.000000000000000000000000000000
lh_G_temporal_inf,lh_S_oc-temp_lat,0.642300018138944000000000000000,0.000000000000000000000000000000
lh_G_rectus,rh_G_rectus,0.641937239252675000000000000000,0.000000000000000000000000000000
rh_G_temporal_middle,rh_S_temporal_inf,0.640848902593869000000000000000,0.000000000000000000000000000000
lh_G_temp_sup-Plan_tempo,Fornix,0.640424471204092000000000000000,0.000000000000000000000000000000
lh_G_Ins_lg_and_S_cent_ins,lh_S_circular_insula_inf,0.638309450389987000000000000000,0.000000000000000000000000000001
lh_S_front_inf,Left-Cerebellum-Exterior,0.638101147769781000000000000000,0.000000000000000000000000000001
lh_G_rectus,Left-Amygdala,0.636495555958643000000000000000,0.000000000000000000000000000001
