x,y,score,pvalue,x raw,y raw
lh_G_and_S_paracentral,rh_G_and_S_paracentral,0.57724945059705100000,0.00000000000000000000,G_and_S_paracentral,G_and_S_paracentral
lh_G_rectus,lh_S_orbital-H_Shaped,0.57699981861055600000,0.00000000000000000000,G_rectus,S_orbital-H_Shaped
lh_Lat_Fis-ant-Horizont,lh_S_orbital_lateral,0.57627426083801900000,0.00000000000000000000,Lat_Fis-ant-Horizont,S_orbital_lateral
lh_G_and_S_cingul-Mid-Post,lh_G_precentral,0.57529281473501700000,0.00000000000000000000,G_and_S_cingul-Mid-Post,G_precentral
lh_G_occipital_sup,lh_S_oc_sup_and_transversal,0.57488386308814300000,0.00000000000000000000,G_occipital_sup,S_oc_sup_and_transversal
lh_G_temp_sup-Plan_tempo,lh_S_circular_insula_sup,0.57348873125952000000,0.00000000000000000000,G_temp_sup-Plan_tempo,S_circular_insula_sup
lh_G_and_S_cingul-Ant,lh_S_orbital-H_Shaped,0.57264647197533100000,0.00000000000000000000,G_and_S_cingul-Ant,S_orbital-H_Shaped
lh_G_precentral,lh_S_postcentral,0.57229744350020200000,0.00000000000000000000,G_precentral,S_postcentral
lh_S_circular_insula_sup,lh_S_front_inf,0.57155813531652400000,0.00000000000000000000,S_circular_insula_sup,S_front_inf
lh_Pole_occipital,rh_Pole_occipital,0.56931506594161100000,0.00000000000000000000,Pole_occipital,Pole_occipital
rh_G_postcentral,rh_G_precentral,0.56829312534010500000,0.00000000000000000000,G_postcentral,G_precentral
lh_G_front_inf-Orbital,lh_Lat_Fis-ant-Horizont,0.56793034645383600000,0.00000000000000000000,G_front_inf-Orbital,Lat_Fis-ant-Horizont
lh_G_and_S_cingul-Mid-Post,rh_G_and_S_cingul-Mid-Post,0.56731873195948400000,0.00000000000000000000,G_and_S_cingul-Mid-Post,G_and_S_cingul-Mid-Post
lh_G_and_S_cingul-Ant,lh_S_front_middle,0.56641422215968700000,0.00000000000000000000,G_and_S_cingul-Ant,S_front_middle
lh_G_oc-temp_med-Parahip,lh_S_collat_transv_ant,0.56539089424995400000,0.00000000000000000000,G_oc-temp_med-Parahip,S_collat_transv_ant
lh_G_and_S_subcentral,lh_G_pariet_inf-Supramar,0.56494920406600100000,0.00000000000000000000,G_and_S_subcentral,G_pariet_inf-Supramar
lh_G_Ins_lg_and_S_cent_ins,lh_G_temp_sup-G_T_transv,0.56466533647741600000,0.00000000000000000000,G_Ins_lg_and_S_cent_ins,G_temp_sup-G_T_transv
lh_S_suborbital,rh_G_and_S_cingul-Ant,0.56393977870487900000,0.00000000000000000000,S_suborbital,G_and_S_cingul-Ant
lh_S_central,lh_S_postcentral,0.56157237675770700000,0.00000000000000000000,S_central,S_postcentral
